"product","price","quantity","amount"
"Xbox One",370,1,370
"Nintendo Switch",300,2,600
"Playstation 4",400,1,400
"Nintendo Switch",300,2,600
"Xbox One",370,1,370
"Xbox One",370,1,370
"Playstation 4",400,1,400
"Xbox One",370,1,370
"Nintendo Switch",300,1,300
"Playstation 4",400,1,400
"Playstation 4",400,1,400
"Nintendo Switch",300,1,300
"Nintendo Switch",300,1,300
"Playstation 4",400,1,400
"Playstation 4",400,1,400
"Xbox One",370,1,370
"Xbox One",370,1,370
"Playstation 4",400,1,400
"Playstation 4",400,1,400
"Playstation 4",400,1,400
"Xbox One",370,1,370
"Xbox One",370,1,370
"Playstation 4",400,1,400
"Xbox One",370,1,370
"Xbox One",370,1,370
"Playstation 4",400,1,400
"Nintendo Switch",300,1,300
"Nintendo Switch",300,1,300
"Xbox One",370,1,370
"Playstation 4",400,1,400
"Playstation 4",400,2,800
"Xbox One",370,1,370
"Nintendo Switch",300,3,900
"Nintendo Switch",300,1,300
"Nintendo Switch",300,1,300
"Xbox One",370,1,370
"Xbox One",370,2,740
"Nintendo Switch",300,1,300
"Playstation 4",400,2,800
"Nintendo Switch",300,2,600
"Xbox One",370,3,1110
"Nintendo Switch",300,1,300
"Nintendo Switch",300,1,300
"Xbox One",370,1,370
"Xbox One",370,1,370
"Playstation 4",400,1,400
"Xbox One",370,1,370
"Nintendo Switch",300,1,300
"Playstation 4",400,1,400
"Nintendo Switch",300,1,300
"Playstation 4",400,2,800
"Nintendo Switch",300,1,300
"Nintendo Switch",300,1,300
"Xbox One",370,1,370
"Playstation 4",400,1,400
"Xbox One",370,1,370
"Xbox One",370,1,370
"Nintendo Switch",300,1,300
"Nintendo Switch",300,1,300
"Nintendo Switch",300,1,300
"Nintendo Switch",300,1,300
"Nintendo Switch",300,1,300
"Nintendo Switch",300,1,300
"Nintendo Switch",300,3,900
"Nintendo Switch",300,1,300
"Nintendo Switch",300,1,300
"Xbox One",370,1,370
"Xbox One",370,1,370
"Playstation 4",400,1,400
"Xbox One",370,1,370
"Xbox One",370,1,370
"Xbox One",370,1,370
"Playstation 4",400,1,400
"Nintendo Switch",300,1,300
"Playstation 4",400,1,400
"Nintendo Switch",300,1,300
"Xbox One",370,1,370
"Xbox One",370,3,1110
"Nintendo Switch",300,1,300
"Playstation 4",400,1,400
"Xbox One",370,1,370
"Nintendo Switch",300,1,300
"Xbox One",370,2,740
"Nintendo Switch",300,1,300
"Playstation 4",400,1,400
"Xbox One",370,1,370
"Xbox One",370,1,370
"Playstation 4",400,1,400
"Xbox One",370,2,740
"Xbox One",370,1,370
